Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",105.419000,-118.375000,180.000000,top
"C2","100nF","C_0805_2012Metric",105.419000,-120.630000,180.000000,top
"C3","10uF","C_0805_2012Metric",112.840000,-142.790000,0.000000,top
"C4","10uF","C_0805_2012Metric",112.840000,-140.240000,0.000000,top
"C5","0.1uF","C_0805_2012Metric",108.950000,-135.480000,180.000000,top
"C6","1uf","C_0805_2012Metric",108.950000,-129.130000,0.000000,top
"C7","1uf","C_0805_2012Metric",105.425000,-124.700000,270.000000,top
"D1","1N4007","D_SOD-123",118.680000,-129.140000,0.000000,top
"D2","1N4007","D_SOD-123",118.680000,-132.315000,0.000000,top
"D3","1N4007","D_SOD-123",105.115000,-114.600000,270.000000,top
"D4","CHRG","LED_0805_2012Metric",110.580000,-150.960000,0.000000,top
"D5","STDBY","LED_0805_2012Metric",106.798000,-150.990000,0.000000,top
"J4","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",118.010000,-149.720000,0.000000,top
"J5","Battery","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",104.930000,-141.310000,270.000000,top
"R1","10K","R_0805_2012Metric",103.985000,-110.780000,0.000000,top
"R2","10K","R_0805_2012Metric",128.088000,-112.710000,0.000000,top
"R3","10K","R_0805_2012Metric",125.440000,-136.090000,270.000000,top
"R4","10K","R_0805_2012Metric",128.088000,-110.590000,0.000000,top
"R5","10K","R_0805_2012Metric",101.194000,-111.490000,270.000000,top
"R6","10K","R_0805_2012Metric",123.800000,-129.340000,0.000000,top
"R7","10K","R_0805_2012Metric",123.800000,-132.115000,0.000000,top
"R8","1K","R_0805_2012Metric",110.370000,-147.040000,180.000000,top
"R9","1K","R_0805_2012Metric",106.630000,-146.970000,0.000000,top
"R10","1K","R_0805_2012Metric",125.440000,-140.460000,270.000000,top
"R11","100R","R_0805_2012Metric",108.950000,-132.150000,0.000000,top
"R12","1M","R_0805_2012Metric",113.250000,-131.250000,0.000000,top
"R13","300K","R_0805_2012Metric",113.300000,-129.100000,180.000000,top
"R_PROG1","2K","R_0805_2012Metric",125.440000,-145.170000,90.000000,top
"U1","ESP-12F","ESP-12E",116.760000,-113.630000,0.000000,top
"U3","TP4056","TP4056_SOP-8-PP",119.050000,-142.850000,180.000000,top
"U4","DW01","SOT-23-6_Handsoldering",113.200000,-135.050000,90.000000,top
"U5","FS8205A","TSSOP-8_4.4x3mm_P0.65mm",119.650000,-137.000000,0.000000,top
"U6","MCP1700-3302E_SOT23","SOT-23",102.225000,-124.700000,180.000000,top
